Indexer,BostonAllSection12AlcoholLicenses-HistoricalLicenseNum,BostonAllSection12AlcoholLicenses-Closing,BostonAllSection12AlcoholLicenses-Suffix,BostonAllSection12AlcoholLicenses-City,BostonBuildingEnergyAndWaterUseMetrics-ZIP,BostonBuildingEnergyAndWaterUseMetrics-Site_EUI,BostonBuildingEnergyAndWaterUseMetrics-GHG_Emissions,BostonEmployeeEarningsReport2015-REGULAR,BostonNailSalonPermits-Permit_Number,BostonUrbanOrchards-Site,col1-score,col2-score,col3-score,col4-score,col5-score,col6-score,col7-score,col8-score,col9-score,col10-score
20,CLBAL0025,2:00 AM,ST,Dorchester,2130,54.3,242.2,"$45,475.20",2012N-00108,UO3,0.0288228822882,0.0045261669024,0.0321782178218,0.0583168316832,0.0262376237624,0.0367161716172,0.022630834512,0.0233663366337,0.0148514851485,0.1100110011
21,CLBAL0026,1:00 AM,AV,Boston,2109,67.2,1729.5,$824.36,2014N-00153,UO35,0.0288228822882,0.004243281471,0.0618811881188,0.0221947194719,0.0158415841584,0.042904290429,0.0275813295615,0.153323903819,0.0148514851485,0.0173267326733
22,CLBAL0027,1:00 AM,RD,Boston,2120,5.7,175.6,"$106,769.77",2012N-00007,UO10,0.0288228822882,0.004243281471,0.0636492220651,0.0221947194719,0.0430693069307,0.0720572057206,0.022630834512,0.015301530153,0.0148514851485,0.0173267326733
23,CLBAL0028,2:00 AM,ST,East Boston,2135,98.4,801.4,"$76,413.98",2013N-00114,UO84,0.0288228822882,0.0045261669024,0.0321782178218,0.0599909990999,0.00891089108911,0.0367161716172,0.022630834512,0.0186138613861,0.0148514851485,0.0173267326733
24,CLBAL0029,1:00 AM,ST,Boston,2109,55.5,6740.3,"$108,181.17",2014N-00049,UO20,0.0288228822882,0.004243281471,0.0321782178218,0.0221947194719,0.0158415841584,0.0367161716172,0.0332390381895,0.0131413141314,0.0148514851485,0.0173267326733
25,CLBAL0030,2:00 AM,St,Roslindale,2215,67.2,214.2,"$73,197.77",2012N-00001,UO47,0.0272827282728,0.0045261669024,0.0721357850071,0.054504950495,0.0262376237624,0.042904290429,0.022630834512,0.0186138613861,0.0148514851485,0.0173267326733
26,CLBAL0031,1:00 AM,ST,Roslindale,2116,125.7,525.8,"$91,619.96",2013N-00021,UO93*,0.0272827282728,0.004243281471,0.0321782178218,0.054504950495,0.0118811881188,0.0379537953795,0.0223479490806,0.0209900990099,0.0148514851485,0.0204620462046
27,CLBAL0032,1:00 AM,ST,Dorchester,2108,113.8,1483.3,"$39,948.98",2014N-00026,UO36,0.0272827282728,0.004243281471,0.0321782178218,0.0583168316832,0.0158415841584,0.0379537953795,0.0332390381895,0.0209900990099,0.0148514851485,0.0173267326733
28,CLBAL0033,1:00 AM,PL,Boston,2115,,,"$46,860.44",2011N-00012,UO57,0.0288228822882,0.004243281471,0.0611739745403,0.0221947194719,0.00891089108911,0.213146314631,0.199434229137,0.0186138613861,0.0148514851485,0.0173267326733
29,CLBAL0034,1:00 AM,AV,Roxbury,2116,86.3,2430.4,"$86,331.52",2012N-00082,UO52,0.0288228822882,0.004243281471,0.0618811881188,0.0531824611033,0.0118811881188,0.0367161716172,0.0275813295615,0.0233663366337,0.0148514851485,0.0173267326733
30,CLBAL0036,2:00 AM,AV,Roxbury,2111,123.4,1047.6,"$34,884.32",2013N-00104,UO86,0.0288228822882,0.0045261669024,0.0618811881188,0.0531824611033,0.0123762376238,0.0379537953795,0.0275813295615,0.0209900990099,0.0148514851485,0.0173267326733
31,CLBAL0037,2:00 AM,ST,East Boston,2127,2,49.5,"$5,336.41",2014N-00123,UO43,0.0288228822882,0.0045261669024,0.0321782178218,0.0599909990999,0.0465346534653,0.310231023102,0.0378359264498,0.0277227722772,0.0148514851485,0.0173267326733
32,CLBAL0038,2:00 AM,ST,Dorchester,2110,65.3,5524.9,"$1,848.00",2011N-00056,UO27,0.0288228822882,0.0045261669024,0.0321782178218,0.0583168316832,0.0262376237624,0.0367161716172,0.0271098538425,0.0250825082508,0.0148514851485,0.0173267326733
33,CLBAL0039,2:00 AM,AV,Dorchester,121091402,,0,"$65,400.71",2013N-00002,UO77,0.0288228822882,0.0045261669024,0.0618811881188,0.0583168316832,0.140154015402,0.213146314631,0.257425742574,0.0186138613861,0.0148514851485,0.0173267326733
