BostonAllSection12AlcoholLicenses-HistoricalLicenseNum,BostonAllSection12AlcoholLicenses-Closing,BostonAllSection12AlcoholLicenses-Suffix,BostonAllSection12AlcoholLicenses-City,BostonBuildingEnergyAndWaterUseMetrics-ZIP,BostonBuildingEnergyAndWaterUseMetrics-Site_EUI,BostonBuildingEnergyAndWaterUseMetrics-GHG_Emissions,BostonEmployeeEarningsReport2015-REGULAR,BostonNailSalonPermits-Permit_Number,BostonUrbanOrchards-Site
CV7AL0001,2:00 AM,ST,Dorchester,2115,230.3,2720.2,"$64,927.05 ",2013N-00138,UO18
CV7AL0002,2:00 AM,ST,Boston,2115,138.2,1481.6,"$31,076.56 ",2014N-00154,UO45
CV7AL0003,1:00 AM,AV,Boston,2115,455.4,3345.8,"$82,861.64 ",2011N-00051,UO1
CV7AL0004,1:00 AM,AV,Boston,2115,245.4,2054.3,"$98,860.29 ",2012N-00137,UO68
CV7AL0005,2:00 AM,AV,Boston,2108,73.9,1574.5,"$86,493.81 ",2013N-00167,UO19
CV7AL0006,2:00 AM,ST,Boston,2116,129.9,1214.1,"$90,279.92 ",2012N-00046,UO46
CV7AL0007,2:00 AM,ST,East Boston,2116,106.6,706.5,"$38,357.18 ",2013N-00055,UO88
CV7AL0008,2:00 AM,Av,Boston,2110,66.9,2411.3,"$106,251.17 ",2014N-00072,UO23
CV7AL0009,1:00 AM,ST,Charlestown,2210,57.2,381.9,"$25,020.29 ",2012N-00003,UO81
CV7AL0010,12:30 AM,ST,Boston,2210,68,306.8,"$93,664.17 ",2013N-00029,UO91
CV7AL0011,2:00 AM,St,Boston,2109,64.9,501.4,"$46,277.17 ",2014N-00043,UO42
CV7AL0012,2:00 AM,ST,Boston,2110,90.3,522.3,"$2,369.58 ",2011N-00063,UO12
CV7AL0013,2:00 AM,ST,Boston,2110,131.6,611.4,"$80,215.83 ",2013N-00061,UO87
CV7AL0014,2:00 AM,ST,BRIGHTON,2116,71.4,595.4,"$100,738.41 ",2014N-00081,UO82
CV7AL0015,2:00 AM,ST,Boston,2119,,550.4,"$76,665.44 ",2011N-00009,UO50
CV7AL0016,2:00 AM,ST,Boston,2111,,,"$21,152.58 ",2013N-00023,UO31
CV7AL0017,1:00 AM,AV,Boston,2118,115.2,2461,"$107,990.94 ",2014N-00013,UO79
CV7AL0018,2:00 AM,PL,Boston,2109,60.7,76.3,"$102,917.53 ",2014N-00173,UO56
CV7AL0020,2:00 AM,ST,Boston,2210,55.5,301.8,"$13,112.65 ",2011N-00064,UO28
CV7AL0021,2:00 AM,AV,Boston,2110,159.4,1480.8,"$94,092.54 ",2013N-00001,UO2
CV7AL0022,1:00 AM,ST,East Boston,2110,58.9,375.5,"$44,132.78 ",2014N-00004,UO38
CV7AL0023,2:00 AM,ST,East Boston,2210,92.9,945.3,"$13,655.10 ",,UO5
CV7AL0024,2:00 AM,ST,Boston,2119,21.3,65.7,"$101,466.00 ",2012N-00072,UO59
CV7AL0025,2:00 AM,ST,Boston,2139,111.8,879.4,"$55,974.12 ",2013N-00168,UO54
CV7AL0027,2:00 AM,ST,Boston,2108,104.1,902.1,"$24,078.60 ",2013N-00067,UO53
CV7AL0028,2:00 AM,St,Boston,2116,63.9,456.8,"$8,840.45 ",2012N-00063,UO76
CV7AL0029,2:00 AM,ST,Boston,2122,42.7,347.2,"$47,706.32 ",2013N-00130,UO83
CV7AL0031,2:00 AM,AV,Boston,2116,89.3,5192.1,"$2,764.39 ",2014N-00097,UO29
CV7AL0032,2:00 AM,PL,Boston,2116,82.9,3335.7,"$55,974.12 ",2012N-00060,UO65
CV7AL0034,2:00 AM,DR,Boston,2109,48.3,811,"$102,690.78 ",2013N-00129,UO39
CV7AL0037,1:00 AM,St,Boston,2109,51,622.6,"$97,716.03 ",2014N-00095,UO85
CV7AL0039,2:00 AM,ST,Boston,2114,10.9,55,"$96,404.95 ",2011N-00017,UO48
