{   'action_dim': 6,
#Games: 319 #Frames: 319000  Train_Max: 5392.73  Test_Score: 5320.07  Avg: 4789.20  ENV:  HalfCheetah-v2  DDPG Reward: 5535.79  PG Loss: -428.6899

Sync from RL --> Nevo
#Games: 330 #Frames: 330000  Train_Max: 5351.31  Test_Score: 5329.68  Avg: 4972.35  ENV:  HalfCheetah-v2  DDPG Reward: 5678.59  PG Loss: -439.6035

#Games: 341 #Frames: 341000  Train_Max: 5727.24  Test_Score: 5685.12  Avg: 5098.19  ENV:  HalfCheetah-v2  DDPG Reward: 5984.19  PG Loss: -450.3410

#Games: 352 #Frames: 352000  Train_Max: 5720.80  Test_Score: 5721.02  Avg: 5174.37  ENV:  HalfCheetah-v2  DDPG Reward: 6052.18  PG Loss: -460.9466

#Games: 363 #Frames: 363000  Train_Max: 5679.96  Test_Score: 5674.48  Avg: 5253.67  ENV:  HalfCheetah-v2  DDPG Reward: 6169.05  PG Loss: -471.2125

#Games: 374 #Frames: 374000  Train_Max: 5743.96  Test_Score: 5690.73  Avg: 5328.33  ENV:  HalfCheetah-v2  DDPG Reward: 5912.12  PG Loss: -481.4160

#Games: 385 #Frames: 385000  Train_Max: 5741.56  Test_Score: 5714.57  Avg: 5389.32  ENV:  HalfCheetah-v2  DDPG Reward: 6249.29  PG Loss: -491.6992

#Games: 396 #Frames: 396000  Train_Max: 5842.54  Test_Score: 5773.41  Avg: 5452.28  ENV:  HalfCheetah-v2  DDPG Reward: 6265.62  PG Loss: -501.6900

#Games: 407 #Frames: 407000  Train_Max: 6100.93  Test_Score: 5756.01  Avg: 5522.56  ENV:  HalfCheetah-v2  DDPG Reward: 5985.73  PG Loss: -511.2116

Progress Saved
#Games: 418 #Frames: 418000  Train_Max: 5654.07  Test_Score: 5658.32  Avg: 5589.77  ENV:  HalfCheetah-v2  DDPG Reward: 6536.96  PG Loss: -519.9714

#Games: 429 #Frames: 429000  Train_Max: 5773.27  Test_Score: 5726.03  Avg: 5632.34  ENV:  HalfCheetah-v2  DDPG Reward: 6431.44  PG Loss: -528.2216

Sync from RL --> Nevo
#Games: 440 #Frames: 440000  Train_Max: 5787.35  Test_Score: 5738.95  Avg: 5672.94  ENV:  HalfCheetah-v2  DDPG Reward: 6740.35  PG Loss: -536.3196

#Games: 451 #Frames: 451000  Train_Max: 6736.80  Test_Score: 6674.37  Avg: 5713.87  ENV:  HalfCheetah-v2  DDPG Reward: 6683.69  PG Loss: -544.3281

#Games: 462 #Frames: 462000  Train_Max: 6802.34  Test_Score: 6734.90  Avg: 5812.79  ENV:  HalfCheetah-v2  DDPG Reward: 6739.41  PG Loss: -551.7849

