function,runtime_seconds,column_length,avg_row_length,avg_num_hinges,max_num_hinges,num_branches
learn_structures_for_single_column,3.40999984741,1000,38.458,7,7,1
learn_structures_for_single_column,3.47000002861,1000,38.474,7,7,1
learn_structures_for_single_column,3.44000005722,1000,38.497,7,7,1
learn_structures_for_single_column,2.85000014305,1000,36.0,4,4,1
learn_structures_for_single_column,2.83999991417,1000,36.0,4,4,1
learn_structures_for_single_column,2.94000005722,1000,36.0,4,4,1
learn_structures_for_single_column,0.579999923706,1000,2.59,0,1,5
learn_structures_for_single_column,0.460000038147,1000,2.593,0,0,4
learn_structures_for_single_column,0.650000095367,1000,2.57,0,1,5
learn_structures_for_single_column,2.63999986649,1000,6.533,0,0,6
learn_structures_for_single_column,2.90000009537,1000,6.442,0,0,6
learn_structures_for_single_column,2.23000001907,1000,6.463,0,0,4
learn_structures_for_single_column,3.51999998093,1000,13.305,3,3,2
learn_structures_for_single_column,1.74000000954,1000,13.301,3,3,1
learn_structures_for_single_column,3.61000013351,1000,13.286,3,3,1
learn_structures_for_single_column,3.24199986458,1000,38.458,7,7,1
learn_structures_for_single_column,3.32000017166,1000,38.474,7,7,1
learn_structures_for_single_column,3.39999985695,1000,38.497,7,7,1
learn_structures_for_single_column,3.08999991417,1000,36.0,4,4,1
learn_structures_for_single_column,3.75099992752,1000,36.0,4,4,1
learn_structures_for_single_column,4.12800002098,1000,36.0,4,4,1
learn_structures_for_single_column,0.480000019073,1000,2.59,0,0,4
learn_structures_for_single_column,0.700000047684,1000,2.593,0,1,5
learn_structures_for_single_column,0.759999990463,1000,2.57,0,1,5
learn_structures_for_single_column,6.00999999046,1000,6.533,0,0,9
learn_structures_for_single_column,3.0,1000,6.442,0,0,6
learn_structures_for_single_column,3.33999991417,1000,6.463,0,0,7
learn_structures_for_single_column,3.25999999046,1000,13.305,3,3,1
learn_structures_for_single_column,1.5600001812,1000,13.301,3,3,1
learn_structures_for_single_column,1.19999980927,1000,13.286,3,3,2
learn_structures_for_single_column,4.66299986839,1000,38.458,7,7,1
learn_structures_for_single_column,3.20000004768,1000,38.474,7,7,1
learn_structures_for_single_column,3.35599994659,1000,38.497,7,7,1
learn_structures_for_single_column,2.94000005722,1000,36.0,4,4,1
learn_structures_for_single_column,2.63000011444,1000,36.0,4,4,1
learn_structures_for_single_column,2.84999990463,1000,36.0,4,4,1
learn_structures_for_single_column,0.430000066757,1000,2.59,0,1,4
learn_structures_for_single_column,0.47000002861,1000,2.593,0,0,4
learn_structures_for_single_column,0.44000005722,1000,2.57,0,1,4
learn_structures_for_single_column,1.69999980927,1000,6.533,0,0,4
learn_structures_for_single_column,2.27000021935,1000,6.442,0,0,5
learn_structures_for_single_column,5.50999999046,1000,6.463,0,0,9
learn_structures_for_single_column,1.5,1000,13.305,3,3,1
learn_structures_for_single_column,2.21000003815,1000,13.301,3,3,1
learn_structures_for_single_column,1.47000002861,1000,13.286,3,3,1
learn_structures_for_single_column,3.51999998093,1000,38.458,7,7,1
learn_structures_for_single_column,4.45000004768,1000,38.474,7,7,1
learn_structures_for_single_column,3.38999986649,1000,38.497,7,7,1
learn_structures_for_single_column,5.74000000954,1000,36.0,4,4,1
learn_structures_for_single_column,2.87000012398,1000,36.0,4,4,1
learn_structures_for_single_column,2.92000007629,1000,36.0,4,4,1
